fold_index,fold_id,repeat,split,algorithm,family,macro_f1,accuracy,cohen_kappa,recall_spruce_fir,recall_lodgepole_pine,recall_ponderosa_pine,recall_cottonwood_willow,recall_aspen,recall_douglas_fir,recall_krummholz,fit_time_sec,pred_time_sec,pred_latency_ms_per_1k
10,Rep2_Fold5,2,5,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0006,0.0563
10,Rep2_Fold5,2,5,LogisticRegression,Linear/Probabilistic,0.542312,0.7221,0.544406,0.69254,0.794504,0.822764,0.458333,0.01227,0.284281,0.586402,4.8878,0.0112,1.1231
10,Rep2_Fold5,2,5,DecisionTree,Tree/Rule-based,0.733451,0.8155,0.70317,0.821174,0.839418,0.806504,0.708333,0.496933,0.615385,0.773371,0.8312,0.0138,1.3818
10,Rep2_Fold5,2,5,RandomForest,Ensemble,0.841187,0.8914,0.824012,0.868623,0.92781,0.918699,0.770833,0.527607,0.785953,0.849858,8.8205,0.1914,19.144
10,Rep2_Fold5,2,5,LightGBM,Ensemble,0.844408,0.896,0.831492,0.876029,0.930886,0.894309,0.770833,0.595092,0.772575,0.883853,14.0248,0.3287,32.8658
10,Rep2_Fold5,2,5,MLP,Neural/Kernel,0.78511,0.8554,0.766392,0.82282,0.901354,0.882927,0.645833,0.564417,0.712375,0.793201,25.0532,0.0332,3.3188
11,Rep3_Fold1,3,1,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0
11,Rep3_Fold1,3,1,LogisticRegression,Linear/Probabilistic,0.544211,0.726,0.551081,0.700494,0.799631,0.819512,0.595745,0.012195,0.267559,0.546742,3.1651,0.0066,0.6629
11,Rep3_Fold1,3,1,DecisionTree,Tree/Rule-based,0.745279,0.8127,0.699714,0.807735,0.836957,0.817886,0.851064,0.493902,0.652174,0.798867,0.5002,0.0085,0.8539
11,Rep3_Fold1,3,1,RandomForest,Ensemble,0.824687,0.8893,0.820262,0.870269,0.928835,0.905691,0.851064,0.420732,0.73913,0.86119,4.6273,0.1054,10.5357
11,Rep3_Fold1,3,1,LightGBM,Ensemble,0.842458,0.8945,0.829141,0.877126,0.928015,0.905691,0.851064,0.518293,0.769231,0.878187,7.8147,0.2012,20.1186
11,Rep3_Fold1,3,1,MLP,Neural/Kernel,0.778735,0.8567,0.769027,0.857652,0.882486,0.866667,0.808511,0.512195,0.628763,0.832861,23.7291,0.0359,3.5944
12,Rep3_Fold2,3,2,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0
12,Rep3_Fold2,3,2,LogisticRegression,Linear/Probabilistic,0.508658,0.7209,0.541971,0.701042,0.796965,0.793496,0.361702,0.006098,0.227425,0.546742,2.9561,0.0105,1.0513
12,Rep3_Fold2,3,2,DecisionTree,Tree/Rule-based,0.737524,0.8204,0.711761,0.829676,0.84434,0.772358,0.787234,0.542683,0.585284,0.810198,0.5641,0.0132,1.3165
12,Rep3_Fold2,3,2,RandomForest,Ensemble,0.821861,0.8915,0.824162,0.876029,0.927605,0.897561,0.702128,0.469512,0.772575,0.864023,4.9062,0.1022,10.2205
12,Rep3_Fold2,3,2,LightGBM,Ensemble,0.83962,0.8956,0.830943,0.879046,0.92781,0.900813,0.808511,0.481707,0.802676,0.895184,9.1461,0.2323,23.2313
12,Rep3_Fold2,3,2,MLP,Neural/Kernel,0.771981,0.8561,0.767748,0.828854,0.898893,0.865041,0.553191,0.567073,0.638796,0.889518,23.6696,0.0501,5.0078
13,Rep3_Fold3,3,3,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0
13,Rep3_Fold3,3,3,LogisticRegression,Linear/Probabilistic,0.541976,0.7245,0.548295,0.701591,0.79799,0.806818,0.510638,0.0,0.240803,0.575071,4.7102,0.0096,0.9646
13,Rep3_Fold3,3,3,DecisionTree,Tree/Rule-based,0.733719,0.8209,0.711651,0.821997,0.849467,0.782468,0.617021,0.595092,0.588629,0.810198,0.6225,0.0136,1.355
13,Rep3_Fold3,3,3,RandomForest,Ensemble,0.840817,0.8922,0.82495,0.870543,0.931911,0.918831,0.829787,0.546012,0.655518,0.889518,6.8983,0.1372,13.7163
13,Rep3_Fold3,3,3,LightGBM,Ensemble,0.841591,0.8952,0.830044,0.877674,0.930476,0.896104,0.744681,0.576687,0.698997,0.92068,15.5472,0.3025,30.2538
13,Rep3_Fold3,3,3,MLP,Neural/Kernel,0.76205,0.8512,0.758521,0.830773,0.900943,0.852273,0.744681,0.441718,0.541806,0.838527,25.3066,0.0407,4.0743
14,Rep3_Fold4,3,4,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0
14,Rep3_Fold4,3,4,LogisticRegression,Linear/Probabilistic,0.521182,0.7203,0.540814,0.705431,0.791838,0.784091,0.425532,0.0,0.270903,0.526912,4.3785,0.0075,0.7535
14,Rep3_Fold4,3,4,DecisionTree,Tree/Rule-based,0.719797,0.8126,0.698906,0.82282,0.83388,0.811688,0.617021,0.503067,0.608696,0.756374,0.6691,0.0102,1.0206
14,Rep3_Fold4,3,4,RandomForest,Ensemble,0.818606,0.8898,0.821105,0.880143,0.925349,0.892857,0.702128,0.490798,0.749164,0.82153,6.7002,0.1372,13.7195
14,Rep3_Fold4,3,4,LightGBM,Ensemble,0.822199,0.9001,0.838059,0.896325,0.929861,0.896104,0.574468,0.552147,0.729097,0.883853,13.7048,0.3292,32.9228
14,Rep3_Fold4,3,4,MLP,Neural/Kernel,0.761177,0.8549,0.766949,0.860943,0.880025,0.780844,0.617021,0.539877,0.752508,0.838527,27.8391,0.0387,3.8705
15,Rep3_Fold5,3,5,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0005,0.0549
15,Rep3_Fold5,3,5,LogisticRegression,Linear/Probabilistic,0.550093,0.7328,0.559546,0.687603,0.82137,0.82439,0.479167,0.0,0.230769,0.614731,4.4182,0.009,0.8975
15,Rep3_Fold5,3,5,DecisionTree,Tree/Rule-based,0.730756,0.8175,0.706726,0.816237,0.842494,0.813008,0.625,0.478528,0.652174,0.815864,0.6012,0.0115,1.1524
15,Rep3_Fold5,3,5,RandomForest,Ensemble,0.830427,0.8888,0.819496,0.869446,0.92781,0.907317,0.791667,0.496933,0.715719,0.858357,7.0417,0.1507,15.0695
15,Rep3_Fold5,3,5,LightGBM,Ensemble,0.843035,0.8981,0.83485,0.881788,0.931296,0.925203,0.75,0.558282,0.729097,0.88102,13.1027,0.3507,35.0657
15,Rep3_Fold5,3,5,MLP,Neural/Kernel,0.786254,0.8563,0.767705,0.824191,0.908121,0.817886,0.8125,0.490798,0.692308,0.852691,25.3711,0.0402,4.0173
